[I 2026-06-07 21:36:49,955] A new study created in memory with name: no-name-fb6138f3-b573-4839-8c75-5c09b7d8f67a
[I 2026-06-08 01:20:28,815] Trial 40 finished with value: 0.7951541850220264 and parameters: {'embed_dim': 256, 'contrast_dim': 64, 'mask_ratio': 0.6552165611286883, 'dropout': 0.47638292318857284, 'n_heads': 4, 'dim_feedforward': 256, 'alpha': 3.6912819494148565, 'beta': 1.9635144618984008, 'gamma': 0.019905569141258524, 'pos_weight_scalar': 1.187403415414421, 'LR_PATIENCE': 7, 'ES_PATIENCE': 23, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:26:23,777] Trial 41 finished with value: 0.8425110132158591 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5941801703914332, 'dropout': 0.29534276799168624, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 2.1612476251893815, 'beta': 3.643391379502967, 'gamma': 0.2155498948094419, 'pos_weight_scalar': 1.042541363059101, 'LR_PATIENCE': 5, 'ES_PATIENCE': 17, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:32:03,679] Trial 42 finished with value: 0.8414096916299559 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5935627118572435, 'dropout': 0.2438561086429949, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 2.120752258545486, 'beta': 3.220849944006341, 'gamma': 0.2379547762426013, 'pos_weight_scalar': 1.3960527136504446, 'LR_PATIENCE': 5, 'ES_PATIENCE': 18, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:41:08,110] Trial 43 finished with value: 0.8392070484581498 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.39658353255439605, 'dropout': 0.49883090537310787, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 1.2427969406896873, 'beta': 3.8260331818315114, 'gamma': 0.1486969795197492, 'pos_weight_scalar': 1.0195635099320364, 'LR_PATIENCE': 3, 'ES_PATIENCE': 19, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:47:25,384] Trial 44 finished with value: 0.8392070484581498 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5121400521826923, 'dropout': 0.3102165781620543, 'n_heads': 4, 'dim_feedforward': 128, 'alpha': 1.7377186608040214, 'beta': 4.396827921261742, 'gamma': 0.7910962947929786, 'pos_weight_scalar': 1.7623487984570427, 'LR_PATIENCE': 4, 'ES_PATIENCE': 16, 'n_blocks': 6}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 01:57:17,135] Trial 45 finished with value: 0.8314977973568282 and parameters: {'embed_dim': 128, 'contrast_dim': 64, 'mask_ratio': 0.609522927032099, 'dropout': 0.2250524231648624, 'n_heads': 2, 'dim_feedforward': 128, 'alpha': 2.6499416030702676, 'beta': 3.0183560590793834, 'gamma': 0.08993892894666451, 'pos_weight_scalar': 1.5357182811817507, 'LR_PATIENCE': 6, 'ES_PATIENCE': 24, 'n_blocks': 4}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 02:01:51,930] Trial 46 finished with value: 0.8491189427312775 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.5620614549532188, 'dropout': 0.279047216816358, 'n_heads': 4, 'dim_feedforward': 512, 'alpha': 2.766878235502135, 'beta': 2.6861385015965027, 'gamma': 0.26687143527645013, 'pos_weight_scalar': 1.1811873590511537, 'LR_PATIENCE': 8, 'ES_PATIENCE': 18, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 02:09:54,916] Trial 47 finished with value: 0.8469162995594713 and parameters: {'embed_dim': 32, 'contrast_dim': 32, 'mask_ratio': 0.5401010626851087, 'dropout': 0.41125346510796057, 'n_heads': 4, 'dim_feedforward': 512, 'alpha': 2.8639628793110012, 'beta': 2.62925997453753, 'gamma': 0.34165908538595335, 'pos_weight_scalar': 1.1840506042355383, 'LR_PATIENCE': 9, 'ES_PATIENCE': 22, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 02:16:29,091] Trial 48 finished with value: 0.8182819383259912 and parameters: {'embed_dim': 32, 'contrast_dim': 16, 'mask_ratio': 0.41333554804496536, 'dropout': 0.4376622582156765, 'n_heads': 1, 'dim_feedforward': 512, 'alpha': 3.2822678710184423, 'beta': 2.2581157390579376, 'gamma': 0.658475841291878, 'pos_weight_scalar': 1.867261083595915, 'LR_PATIENCE': 8, 'ES_PATIENCE': 11, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
[I 2026-06-08 02:24:57,868] Trial 49 finished with value: 0.8458149779735683 and parameters: {'embed_dim': 32, 'contrast_dim': 64, 'mask_ratio': 0.3579580804717308, 'dropout': 0.35428036529571233, 'n_heads': 4, 'dim_feedforward': 512, 'alpha': 3.5610755691836413, 'beta': 1.7191427178004735, 'gamma': 0.509049041785897, 'pos_weight_scalar': 2.0258292428888414, 'LR_PATIENCE': 10, 'ES_PATIENCE': 25, 'n_blocks': 2}. Best is trial 13 with value: 0.8535242290748899.
