frb_id,tsne_1,tsne_2,label
FRB20190630D,-15.629772,24.711437,0
FRB20190701A,-11.460936,21.208809,0
FRB20190701B,39.31365,30.34021,0
FRB20190701C,11.780402,51.059074,0
FRB20190701D,3.5530632,13.320911,0
FRB20190701E,37.293625,30.378635,0
FRB20190702A,11.173492,63.70848,1
FRB20190702B,10.429934,65.55107,1
FRB20190702C,43.17526,35.66953,0
FRB20190708A,-49.263165,27.441504,0
FRB20190710A,41.329586,40.967453,0
FRB20190710B,-21.792141,19.312902,0
FRB20190710C,41.324253,40.990013,0
FRB20190712A,42.868893,30.816395,0
FRB20190712B,-1.5079372,30.287178,0
FRB20190712C,40.1893,17.740356,0
FRB20190713A,44.897903,39.887375,0
FRB20190713B,49.955574,26.012266,0
FRB20190714B,-2.5022395,17.661736,0
FRB20190714C,-46.27029,11.395129,0
FRB20190714D,-4.2336245,16.601105,0
FRB20190715A,-57.326683,10.788403,0
FRB20190715B,7.6574306,46.637688,0
FRB20190715C,-0.35069385,8.517905,0
FRB20190716A,37.910995,14.594938,0
FRB20190716B,3.2750034,13.677765,0
FRB20190716C,43.55637,35.83601,1
FRB20190716D,-8.37108,24.456373,0
FRB20190718A,-50.4167,7.2928796,1
FRB20190720A,45.755318,14.593243,0
FRB20190720B,4.5809555,62.166264,0
FRB20190721A,-40.107822,31.746048,0
FRB20190721C,12.098909,41.569397,0
FRB20190721D,46.27815,13.037833,0
FRB20190722A,-50.321903,6.167525,0
FRB20190722B,10.047591,43.667744,0
FRB20190723A,14.965691,41.91423,0
FRB20190724A,-3.908504,-14.23267,0
FRB20190725A,-13.387257,22.882969,0
FRB20190726A,42.95488,35.013927,0
FRB20190727A,43.494427,14.06844,0
FRB20190727B,36.247105,30.682762,0
FRB20190728A,6.801662,62.857533,0
FRB20190729A,40.317413,23.509813,0
FRB20190729B,-4.2934504,-8.958868,0
FRB20190804B,-19.362558,20.474545,0
FRB20190804C,36.325573,29.908325,0
FRB20190804D,-18.867748,19.996243,0
FRB20190804E,1.1364573,57.458233,1
FRB20190805A,-23.028215,26.796629,0
FRB20190805B,12.323394,41.35515,1
FRB20190805C,37.49601,23.179176,0
FRB20190805D,46.76306,32.01509,0
FRB20190805E,45.678467,32.79949,0
FRB20190806A,15.0642605,33.431934,1
FRB20190806B,40.74684,21.30487,0
FRB20190806C,46.885704,32.529457,0
FRB20190807A,-5.2942357,5.252473,0
FRB20190807B,41.901127,30.208735,0
FRB20190808A,4.198137,61.822132,0
FRB20190809A,11.339822,60.473312,1
FRB20190809B,-22.028038,15.735953,0
FRB20190809C,40.73307,20.384686,0
FRB20190810A,42.128983,19.146091,1
FRB20190810B,-21.23721,17.510094,1
FRB20190810C,-48.481537,24.656857,0
FRB20190810D,-1.1152517,13.399219,0
FRB20190810F,7.1824985,62.880783,0
FRB20190811A,-10.461267,18.775692,0
