frb_id,tsne_1,tsne_2,label
FRB20190126A,-69.15724,-11.338595,1
FRB20190127B,-2.921746,39.153492,0
FRB20190128A,22.833364,1.027536,0
FRB20190128B,18.259214,-38.893276,0
FRB20190128C,-37.68427,16.891768,0
FRB20190128D,25.764437,-9.020394,0
FRB20190129A,-2.791894,18.84682,0
FRB20190130A,3.9043195,31.027378,0
FRB20190130B,67.619446,-0.7311511,0
FRB20190131B,33.990654,-18.768589,0
FRB20190131C,26.588465,-33.580574,0
FRB20190131D,69.52009,-34.64507,0
FRB20190131E,49.545067,-26.031063,0
FRB20190201A,19.125383,-31.222061,1
FRB20190201B,43.368942,-2.2998295,0
FRB20190202A,64.379974,-30.634512,0
FRB20190202B,51.42506,-30.010138,0
FRB20190203A,67.52083,1.82488,0
FRB20190203B,14.878663,-25.99379,0
FRB20190203C,31.573845,-13.556868,0
FRB20190204A,-9.19771,-4.4335537,0
FRB20190204B,55.956482,-0.45259577,0
FRB20190205A,-3.223889,-8.949853,0
FRB20190206A,44.00219,21.73532,0
FRB20190206B,-5.528435,24.95157,0
FRB20190206C,34.313812,16.50111,0
FRB20190208A,-76.76427,1.6388352,1
FRB20190208B,-16.952995,39.48709,0
FRB20190208C,9.826408,-40.754333,1
FRB20190209A,-52.98822,1.184378,1
FRB20190210A,-74.78057,-0.83815044,1
FRB20190210B,68.36227,-33.34756,0
FRB20190210C,50.609116,-18.910486,0
FRB20190210D,69.70518,-1.3439288,0
FRB20190210E,1.4359331,-23.576612,0
FRB20190211A,34.755203,14.00448,0
FRB20190211B,17.952978,-27.279652,0
FRB20190212A,-34.45433,21.557133,1
FRB20190212B,44.631123,-7.8948116,0
FRB20190212C,27.96126,36.18804,0
FRB20190212D,16.74564,32.30282,0
FRB20190213A,-66.54504,18.435223,1
FRB20190213B,-64.140564,-1.6747923,1
FRB20190213C,13.224918,-20.158283,0
FRB20190213D,-33.034904,0.10296521,0
FRB20190214A,21.748335,32.830738,0
FRB20190214C,33.51323,14.590546,0
FRB20190215B,70.68837,-32.433304,0
FRB20190216A,-24.835371,32.01619,1
FRB20190217A,32.323685,15.554407,0
FRB20190217B,19.597282,22.954985,0
FRB20190218A,34.411694,-9.794754,0
FRB20190218B,12.772609,32.634296,0
FRB20190218C,67.37538,-21.962904,0
FRB20190219A,46.717022,-5.7059894,0
FRB20190219B,32.0717,34.69754,0
FRB20190219C,16.08851,-6.231989,0
FRB20190220A,1.4654787,-23.0609,0
FRB20190221A,19.902042,-34.241837,0
FRB20190221B,14.134062,4.8068666,0
FRB20190221C,25.053125,26.639528,0
FRB20190221D,6.224603,-19.111412,0
FRB20190222A,-51.18429,-6.897449,1
FRB20190222B,4.8492293,37.810368,0
FRB20190222C,3.016575,-32.570198,0
FRB20190222D,-1.0345453,-15.6512575,0
FRB20190223A,-0.36321166,-30.912306,0
FRB20190223B,18.596478,-12.719832,0
FRB20190224A,11.440046,28.000067,0
FRB20190224B,24.78583,-27.92198,0
FRB20190224C,-0.8459257,19.902903,0
FRB20190224D,57.207684,-17.366165,1
FRB20190224E,71.66961,-32.28727,0
FRB20190226A,50.286335,-17.072832,0
FRB20190226B,-45.82994,10.465304,1
FRB20190226C,-15.347004,-11.085909,0
FRB20190227A,62.264866,10.879636,0
FRB20190227B,14.789939,-20.294361,0
FRB20190228A,33.05238,41.13442,0
FRB20190228B,31.998215,38.63663,0
FRB20190301A,-76.825516,-16.742548,1
FRB20190301B,-13.838537,-2.7815409,0
FRB20190301C,14.85996,23.91165,0
FRB20190301D,-4.005581,-16.582415,0
FRB20190302A,-7.886995,42.648495,0
FRB20190303A,-67.76113,-8.107195,1
FRB20190303B,62.15428,13.528378,0
FRB20190303C,39.285934,5.6498346,0
FRB20190303D,20.181896,-10.128217,0
FRB20190304A,-25.846693,-15.54797,0
FRB20190304B,38.671776,-13.700588,0
FRB20190304C,-15.379171,-10.99592,0
FRB20190307A,-6.5035205,-3.437107,0
FRB20190307B,8.519215,25.802185,0
FRB20190308B,-6.302561,-25.819965,0
FRB20190308C,-6.866885,-0.9434242,0
FRB20190309A,10.022786,-14.643271,0
FRB20190313A,-3.5579605,15.237006,1
FRB20190313B,6.550748,15.013674,0
FRB20190316A,26.232645,-19.850222,0
FRB20190317A,13.430925,-10.598688,0
FRB20190317B,-2.0972621,-21.147957,0
FRB20190317C,-0.28334147,25.908924,0
FRB20190317D,45.2869,22.658815,0
FRB20190317E,38.915882,-9.822714,0
FRB20190318A,31.144884,31.733772,0
FRB20190319A,39.975475,16.921688,0
FRB20190320A,30.441874,-8.411128,0
FRB20190320B,27.25982,-22.079592,0
FRB20190320C,19.660305,-9.793249,0
FRB20190320D,-4.899159,37.56454,0
FRB20190320E,57.262722,-0.33882692,1
FRB20190322A,20.904644,33.6474,0
FRB20190322B,0.2603244,-12.04616,0
FRB20190322C,73.889755,-32.174713,0
FRB20190323A,32.185394,-24.192177,0
FRB20190323B,66.91079,-15.448312,0
FRB20190323C,-9.543601,-4.739205,0
FRB20190323D,-12.014789,12.367883,0
FRB20190325A,18.385635,15.188484,0
FRB20190325B,20.52387,3.0079584,0
FRB20190325C,14.355004,12.537592,0
FRB20190326A,12.977651,-24.067116,0
FRB20190326B,6.552402,15.034849,0
FRB20190327A,53.46929,-16.701353,0
FRB20190328A,4.759812,9.148063,0
FRB20190328B,1.4696445,-17.39344,0
FRB20190328C,39.477047,-8.245692,0
FRB20190329A,-75.909904,17.655874,1
FRB20190329B,41.387966,9.29643,0
FRB20190329C,47.634098,-4.0531006,0
FRB20190330A,13.412372,-10.599285,0
FRB20190330B,70.22114,-32.557995,0
FRB20190401A,29.064621,29.761442,0
FRB20190402A,17.610466,24.654865,0
FRB20190403A,-4.4192843,41.799732,0
FRB20190403B,41.811058,18.916903,0
FRB20190403C,5.4215975,-1.9359313,0
FRB20190403D,13.555855,-12.212547,0
FRB20190403E,42.891224,26.215036,0
FRB20190403F,21.043882,28.573925,0
FRB20190403G,-6.695998,-23.112772,0
FRB20190404A,42.190575,8.801014,0
FRB20190404B,71.438995,-17.08758,0
FRB20190405A,4.2329183,30.292675,0
FRB20190405B,-3.6595507,-2.5729759,0
FRB20190406A,-56.216377,-3.995052,1
FRB20190408A,-23.440788,-7.6659036,0
FRB20190409A,38.9582,-16.028881,0
FRB20190409B,-27.436495,25.661537,0
FRB20190409C,24.184153,-13.028423,0
FRB20190409D,-3.161622,-5.45379,0
FRB20190410A,-16.448208,42.614437,0
FRB20190410B,10.336211,-40.246777,0
FRB20190411A,-7.839797,-7.588608,0
FRB20190411B,31.089207,-9.003799,0
FRB20190411C,61.1343,1.3217763,0
FRB20190412A,57.704006,0.16860206,0
FRB20190412B,-0.3672257,40.7835,0
FRB20190414A,10.113286,-2.640953,0
FRB20190414B,17.887043,24.060917,0
FRB20190415A,13.003333,9.274619,0
FRB20190415B,11.276105,43.820038,0
FRB20190416A,16.068542,16.96181,0
FRB20190416B,17.714596,14.997416,0
FRB20190417A,-55.62982,-9.854481,1
FRB20190417B,10.465462,38.537437,0
FRB20190417C,66.21863,-20.020689,0
FRB20190418A,57.013985,-35.601173,0
FRB20190419A,-13.791672,-3.3604734,0
FRB20190419B,62.51827,-33.227356,0
FRB20190420A,-18.67285,-21.207468,0
FRB20190420B,44.261078,17.62888,0
FRB20190420C,15.933757,21.557007,0
FRB20190421A,-86.531364,0.76504,1
FRB20190421B,63.988663,12.266389,0
FRB20190422A,-33.93923,30.555927,0
FRB20190423A,56.40831,18.702744,0
FRB20190423B,48.19038,4.3992443,0
FRB20190423C,18.749119,20.218248,0
FRB20190423D,41.368477,18.901066,0
FRB20190424A,27.254885,-28.86935,0
FRB20190425A,74.71613,-17.267132,0
FRB20190425B,8.1648035,-35.315296,0
FRB20190426A,20.361986,-42.188576,0
FRB20190427A,50.36244,-17.646414,0
FRB20190428A,70.06717,1.4989707,0
FRB20190429A,18.908812,-21.103235,0
FRB20190429B,-45.34662,20.588543,0
FRB20190430A,2.7074904,34.373386,0
FRB20190430B,5.6196895,3.1076288,0
FRB20190430C,-46.699253,-2.169094,1
FRB20190501B,42.058712,-8.810727,0
FRB20190502A,59.305756,10.497003,0
FRB20190502B,58.43542,10.854678,0
FRB20190502C,43.6145,-15.804211,0
FRB20190515A,15.528307,40.193687,0
FRB20190515B,54.29427,-4.5355964,0
FRB20190515C,-53.336563,11.2301655,1
FRB20190515D,67.803795,-1.4042732,0
FRB20190516B,25.398298,15.626121,0
FRB20190517B,-70.98097,10.924988,1
FRB20190517C,57.51564,-35.570316,0
FRB20190518A,-34.644505,22.026157,1
FRB20190518B,22.191282,-28.041256,0
FRB20190518C,71.351295,-30.514812,0
FRB20190518D,28.063385,-30.818634,0
FRB20190518E,-33.29424,5.542866,1
FRB20190518G,10.4006815,-39.353573,0
FRB20190519A,-75.8456,-10.028365,1
FRB20190519B,-81.15876,3.2574604,1
FRB20190519C,-58.314884,-6.38859,1
FRB20190519D,-16.068756,47.866047,0
FRB20190519E,1.9991131,-42.6618,0
FRB20190519F,-9.583844,19.535078,0
FRB20190519G,33.265404,34.271065,0
FRB20190519H,57.95891,-15.255078,0
FRB20190519J,-12.641522,-0.98477465,0
FRB20190520A,59.005493,-34.118496,0
FRB20190527A,-51.965595,19.53434,0
FRB20190527B,-47.112576,12.041739,1
FRB20190527C,52.658764,20.762589,0
FRB20190529A,-19.285662,2.9411616,0
FRB20190530A,-9.038762,-19.478458,0
FRB20190531A,21.105219,-23.073502,0
FRB20190531B,66.64217,-20.428005,0
FRB20190531C,-28.9757,12.989399,0
FRB20190531E,15.715075,-11.179655,0
FRB20190601A,36.215816,-23.417759,0
FRB20190601B,29.515823,24.248873,0
FRB20190601C,-29.258877,14.848445,0
FRB20190601D,4.8907948,24.936184,0
FRB20190603A,-57.803844,7.432077,1
FRB20190603B,8.474002,4.6428785,0
FRB20190604A,-44.45331,1.3238655,1
